District,Accident_count,Percentage
Bedford,4,0.8281573498964804
Williamsbridge-Olinville,4,0.8281573498964804
Briarwood-Jamaica Hills,1,0.2070393374741201
Ridgewood,2,0.4140786749482402
Brighton Beach,1,0.2070393374741201
Jamaica Estates-Holliswood,1,0.2070393374741201
Jamaica,12,2.484472049689441
Glen Oaks-Floral Park-New Hyde Park,4,0.8281573498964804
Ocean Parkway South,1,0.2070393374741201
East Tremont,1,0.2070393374741201
Hamilton Heights,1,0.2070393374741201
Corona,3,0.6211180124223602
Maspeth,2,0.4140786749482402
Central Harlem North-Polo Grounds,6,1.2422360248447204
Upper East Side-Carnegie Hill,5,1.0351966873706004
Springfield Gardens North,1,0.2070393374741201
Woodside,1,0.2070393374741201
Bensonhurst West,2,0.4140786749482402
Rugby-Remsen Village,2,0.4140786749482402
Lenox Hill-Roosevelt Island,6,1.2422360248447204
SoHo-TriBeCa-Civic Center-Little Italy,5,1.0351966873706004
Clinton Hill,3,0.6211180124223602
Crown Heights South,1,0.2070393374741201
Elmhurst,5,1.0351966873706004
Springfield Gardens South-Brookville,4,0.8281573498964804
Homecrest,2,0.4140786749482402
Midtown-Midtown South,11,2.2774327122153206
Stuyvesant Heights,3,0.6211180124223602
Glendale,2,0.4140786749482402
Carroll Gardens-Columbia Street-Red Hook,4,0.8281573498964804
West Concourse,2,0.4140786749482402
Prospect Heights,1,0.2070393374741201
Williamsburg,2,0.4140786749482402
Crown Heights North,8,1.6563146997929608
Annadale-Huguenot-Prince's Bay-Eltingville,1,0.2070393374741201
park-cemetery-etc-Bronx,2,0.4140786749482402
Ft. Totten-Bay Terrace-Clearview,2,0.4140786749482402
Hunters Point-Sunnyside-West Maspeth,14,2.898550724637681
Queensbridge-Ravenswood-Long Island City,4,0.8281573498964804
Hunts Point,3,0.6211180124223602
Far Rockaway-Bayswater,1,0.2070393374741201
Queens Village,2,0.4140786749482402
North Riverdale-Fieldston-Riverdale,1,0.2070393374741201
East Flatbush-Farragut,2,0.4140786749482402
North Side-South Side,2,0.4140786749482402
Washington Heights South,3,0.6211180124223602
Murray Hill,1,0.2070393374741201
Westerleigh,1,0.2070393374741201
Bay Ridge,4,0.8281573498964804
Brownsville,3,0.6211180124223602
Belmont,2,0.4140786749482402
Sunset Park East,2,0.4140786749482402
Spuyten Duyvil-Kingsbridge,2,0.4140786749482402
Kingsbridge Heights,2,0.4140786749482402
Greenpoint,2,0.4140786749482402
Clinton,1,0.2070393374741201
Prospect Lefferts Gardens-Wingate,5,1.0351966873706004
Douglas Manor-Douglaston-Little Neck,4,0.8281573498964804
Crotona Park East,4,0.8281573498964804
Hollis,1,0.2070393374741201
East Village,1,0.2070393374741201
Rosedale,2,0.4140786749482402
Soundview-Castle Hill-Clason Point-Harding Park,4,0.8281573498964804
Chinatown,7,1.4492753623188406
South Jamaica,3,0.6211180124223602
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2,0.4140786749482402
Georgetown-Marine Park-Bergen Beach-Mill Basin,2,0.4140786749482402
Stuyvesant Town-Cooper Village,1,0.2070393374741201
Brooklyn Heights-Cobble Hill,2,0.4140786749482402
Flatbush,3,0.6211180124223602
East Flushing,2,0.4140786749482402
Woodhaven,1,0.2070393374741201
Richmond Hill,2,0.4140786749482402
Astoria,2,0.4140786749482402
Longwood,1,0.2070393374741201
Bellerose,4,0.8281573498964804
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2,0.4140786749482402
Kew Gardens Hills,3,0.6211180124223602
Washington Heights North,1,0.2070393374741201
East New York (Pennsylvania Ave),2,0.4140786749482402
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2,0.4140786749482402
Midwood,4,0.8281573498964804
Lindenwood-Howard Beach,2,0.4140786749482402
Kensington-Ocean Parkway,2,0.4140786749482402
Steinway,6,1.2422360248447204
Norwood,1,0.2070393374741201
Canarsie,4,0.8281573498964804
Seagate-Coney Island,1,0.2070393374741201
Turtle Bay-East Midtown,3,0.6211180124223602
Lincoln Square,2,0.4140786749482402
Great Kills,1,0.2070393374741201
East Concourse-Concourse Village,3,0.6211180124223602
Westchester-Unionport,1,0.2070393374741201
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7,1.4492753623188406
Hammels-Arverne-Edgemere,1,0.2070393374741201
Upper West Side,2,0.4140786749482402
Manhattanville,1,0.2070393374741201
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1,0.2070393374741201
Stapleton-Rosebank,1,0.2070393374741201
Borough Park,6,1.2422360248447204
Park Slope-Gowanus,6,1.2422360248447204
South Ozone Park,5,1.0351966873706004
Mott Haven-Port Morris,6,1.2422360248447204
Gramercy,2,0.4140786749482402
Laurelton,1,0.2070393374741201
Starrett City,1,0.2070393374741201
St. Albans,4,0.8281573498964804
Van Cortlandt Village,1,0.2070393374741201
Pelham Parkway,1,0.2070393374741201
Bath Beach,2,0.4140786749482402
New Dorp-Midland Beach,1,0.2070393374741201
Flushing,6,1.2422360248447204
park-cemetery-etc-Queens,9,1.8633540372670807
East New York,8,1.6563146997929608
Bensonhurst East,2,0.4140786749482402
Queensboro Hill,1,0.2070393374741201
Schuylerville-Throgs Neck-Edgewater Park,2,0.4140786749482402
Marble Hill-Inwood,6,1.2422360248447204
Bushwick South,7,1.4492753623188406
North Corona,3,0.6211180124223602
Pelham Bay-Country Club-City Island,2,0.4140786749482402
Rego Park,1,0.2070393374741201
West New Brighton-New Brighton-St. George,2,0.4140786749482402
Yorkville,2,0.4140786749482402
College Point,1,0.2070393374741201
Bushwick North,3,0.6211180124223602
Cambria Heights,4,0.8281573498964804
Bronxdale,2,0.4140786749482402
Lower East Side,2,0.4140786749482402
