Hour_of_day,Accident_count,Percentage
4,5,0.945179584120983
16,42,7.9395085066162565
0,14,2.6465028355387523
20,22,4.158790170132325
12,32,6.049149338374291
13,41,7.750472589792061
21,28,5.293005671077505
1,7,1.3232514177693762
17,47,8.88468809073724
5,13,2.4574669187145557
22,15,2.835538752362949
14,46,8.695652173913043
18,38,7.183364839319471
10,29,5.482041587901701
2,5,0.945179584120983
19,26,4.914933837429111
15,46,8.695652173913043
11,48,9.073724007561438
23,20,3.780718336483932
3,5,0.945179584120983
