DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/13/2019,0:00,BRONX,10463,40.881687,-73.90283,"(40.881687, -73.90283)",BROADWAY                        ,WEST 234 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4131716,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/13/2019,0:00,BRONX,10472,40.828354,-73.88199,"(40.828354, -73.88199)",WESTCHESTER AVENUE              ,COLGATE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4132182,Sedan,Sedan,,,
05/13/2019,0:00,QUEENS,11101,40.753014,-73.95041,"(40.753014, -73.95041)",VERNON BOULEVARD                ,43 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4131688,Sedan,Sedan,,,
05/13/2019,0:00,QUEENS,11413,40.659023,-73.749176,"(40.659023, -73.749176)",231 STREET                      ,146 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4131243,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
05/13/2019,0:00,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,3,0,0,0,0,0,3,0,View Obstructed/Limited,Unspecified,,,,4130556,Taxi,Dump,,,
05/13/2019,0:01,BROOKLYN,11216,40.680088,-73.94398,"(40.680088, -73.94398)",FULTON STREET                   ,BROOKLYN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4130538,Sedan,Sedan,,,
05/13/2019,0:03,BROOKLYN,11206,40.700005,-73.95476,"(40.700005, -73.95476)",,,147       WALLABOUT STREET              ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4130591,Station Wagon/Sport Utility Vehicle,,,,
05/13/2019,0:10,BRONX,10469,40.872887,-73.84481,"(40.872887, -73.84481)",,,1483      BURKE AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4131096,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,
05/13/2019,0:12,,,40.768642,-73.949036,"(40.768642, -73.949036)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unsafe Lane Changing,,,,4130492,Taxi,,,,
05/06/2019,16:50,QUEENS,11385,40.69966,-73.8988,"(40.69966, -73.8988)",NORMAN STREET                   ,FOREST AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4128974,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2019,16:50,,,40.583992,-73.96752,"(40.583992, -73.96752)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4126815,Sedan,Sedan,,,
05/06/2019,16:54,,,40.749504,-73.76236,"(40.749504, -73.76236)",BELL BOULEVARD                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4126778,Sedan,Sedan,,,
05/06/2019,17:00,QUEENS,11385,40.697346,-73.89081,"(40.697346, -73.89081)",78 AVENUE                       ,64 PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,4127809,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:00,,,40.70487,-73.73998,"(40.70487, -73.73998)",112 ROAD                        ,SPRINGFIELD BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4126879,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:00,,,40.666573,-73.78632,"(40.666573, -73.78632)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4126901,Sedan,PK,,,
05/06/2019,17:00,,,40.830822,-73.87343,"(40.830822, -73.87343)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4128333,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
05/06/2019,17:00,,,40.643787,-74.018845,"(40.643787, -74.018845)",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Pavement Defective,,,,,4127331,Sedan,,,,
05/06/2019,17:03,QUEENS,11367,40.73034,-73.814735,"(40.73034, -73.814735)",,,154-01    71 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4126803,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2019,17:04,,,40.81207,-73.93603,"(40.81207, -73.93603)",MADISON AVENUE                  ,EAST 135 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4128576,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:05,BRONX,10469,40.874504,-73.85207,"(40.874504, -73.85207)",BOSTON ROAD                     ,EAST 212 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4127161,FORD,Sedan,,,
05/06/2019,17:05,QUEENS,11106,40.7619,-73.94225,"(40.7619, -73.94225)",,,8-16      36 AVENUE                     ,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4127026,Box Truck,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:08,BROOKLYN,11206,40.70547,-73.95024,"(40.70547, -73.95024)",BROADWAY                        ,UNION AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4127538,Sedan,Motorcycle,,,
05/06/2019,17:10,BROOKLYN,11205,40.694813,-73.968155,"(40.694813, -73.968155)",,,93        WAVERLY AVENUE                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4126860,Bus,Sedan,,,
05/06/2019,17:10,STATEN ISLAND,10312,40.553192,-74.164345,"(40.553192, -74.164345)",GENESEE AVENUE                  ,RIDGEWOOD AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4126808,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:15,QUEENS,11365,40.73939,-73.78611,"(40.73939, -73.78611)",,,61-40     188 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4126796,Sedan,Sedan,,,
05/06/2019,17:15,,,40.758972,-73.91901,"(40.758972, -73.91901)",STEINWAY STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4127023,Sedan,,,,
05/06/2019,17:18,BROOKLYN,11233,40.676125,-73.90511,"(40.676125, -73.90511)",,,2416      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4130983,Sedan,,,,
05/06/2019,17:19,QUEENS,11362,40.7565,-73.73343,"(40.7565, -73.73343)",61 AVENUE                       ,57 DRIVE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,4126804,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:20,BRONX,10456,40.82634,-73.90205,"(40.82634, -73.90205)",,,760       EAST 166 STREET               ,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4126911,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2019,17:21,BROOKLYN,11205,40.691563,-73.96953,"(40.691563, -73.96953)",VANDERBILT AVENUE               ,WILLOUGHBY AVENUE,,1,0,0,0,1,0,0,0,Unspecified,,,,,4126855,Sedan,Bike,,,
05/06/2019,17:25,,,40.6796,-73.80349,"(40.6796, -73.80349)",VANWYCK EXPRESSWAY              ,116 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4127490,Sedan,Moped,,,
05/06/2019,17:26,,,40.68821,-73.96583,"(40.68821, -73.96583)",WASHINGTON AVENUE               ,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4126856,Station Wagon/Sport Utility Vehicle,Bike,,,
05/06/2019,17:29,MANHATTAN,10039,40.829155,-73.93728,"(40.829155, -73.93728)",8 AVENUE                        ,WEST 155 STREET,,6,0,0,0,0,0,6,0,Other Vehicular,Other Vehicular,,,,4127039,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2019,17:30,BRONX,10458,40.857372,-73.886024,"(40.857372, -73.886024)",EAST 189 STREET                 ,ARTHUR AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4127308,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2019,17:30,MANHATTAN,10033,40.848392,-73.937675,"(40.848392, -73.937675)",WEST 178 STREET                 ,BROADWAY,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4128586,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:30,QUEENS,11361,40.75904,-73.77423,"(40.75904, -73.77423)",NORTHERN BOULEVARD              ,OCEANIA STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4126798,Sedan,Sedan,,,
05/06/2019,17:30,,,40.599052,-73.99808,"(40.599052, -73.99808)",BAY 29 STREET                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4126828,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,17:30,,,40.716034,-73.80663,"(40.716034, -73.80663)",GRAND CENTRAL PARKWAY           ,159 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4126805,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
